service,request_id,level,event,status_code_log,duration_ms_log,generated_at,status_code_metric,duration_ms_metric,cpu_percent,memory_mb,db_query_time_ms
orders-service,3a1e1927-76e5-4dcf-b849-86086be322d3,info,http.request.received,,,,,,,,
orders-service,3a1e1927-76e5-4dcf-b849-86086be322d3,info,order.list.start,,,,,,,,
orders-service,3a1e1927-76e5-4dcf-b849-86086be322d3,info,order.service.get_all.start,,,,,,,,
orders-service,3a1e1927-76e5-4dcf-b849-86086be322d3,info,order.service.get_all.success,,,,,,,,
orders-service,3a1e1927-76e5-4dcf-b849-86086be322d3,info,order.list.success,,,,,,,,
orders-service,3a1e1927-76e5-4dcf-b849-86086be322d3,info,http.request.completed.success,200,1825.56,,,,,,
orders-service,31bb67fd-e000-41b2-979b-9c8fc8a2bd8a,info,http.request.received,,,,,,,,
orders-service,31bb67fd-e000-41b2-979b-9c8fc8a2bd8a,info,order.list.start,,,,,,,,
orders-service,31bb67fd-e000-41b2-979b-9c8fc8a2bd8a,info,order.service.get_all.start,,,,,,,,
orders-service,31bb67fd-e000-41b2-979b-9c8fc8a2bd8a,info,order.service.get_all.success,,,,,,,,
orders-service,31bb67fd-e000-41b2-979b-9c8fc8a2bd8a,info,order.list.success,,,,,,,,
orders-service,31bb67fd-e000-41b2-979b-9c8fc8a2bd8a,info,http.request.completed.success,304,93.24,,,,,,
orders-service,8f4854c1-691f-431d-982b-a4e5b49a2759,info,http.request.received,,,,,,,,
orders-service,8f4854c1-691f-431d-982b-a4e5b49a2759,info,order.list.start,,,,,,,,
orders-service,8f4854c1-691f-431d-982b-a4e5b49a2759,info,order.service.get_all.start,,,,,,,,
orders-service,8f4854c1-691f-431d-982b-a4e5b49a2759,info,order.service.get_all.success,,,,,,,,
orders-service,8f4854c1-691f-431d-982b-a4e5b49a2759,info,order.list.success,,,,,,,,
orders-service,8f4854c1-691f-431d-982b-a4e5b49a2759,info,http.request.completed.success,304,118.18,,,,,,
orders-service,ce14b624-47df-4b00-a3fa-b10d8d9f5b43,info,http.request.received,,,,,,,,
orders-service,ce14b624-47df-4b00-a3fa-b10d8d9f5b43,info,order.list.start,,,,,,,,
orders-service,ce14b624-47df-4b00-a3fa-b10d8d9f5b43,info,order.service.get_all.start,,,,,,,,
orders-service,ce14b624-47df-4b00-a3fa-b10d8d9f5b43,info,order.service.get_all.success,,,,,,,,
orders-service,ce14b624-47df-4b00-a3fa-b10d8d9f5b43,info,order.list.success,,,,,,,,
orders-service,ce14b624-47df-4b00-a3fa-b10d8d9f5b43,info,http.request.completed.success,304,79.02,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,http.request.received,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,auth.token_validated,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,authorize.access_granted,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,order.create.start,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,order.create.fetching_menu_items,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,api.restaurant.fetch_menu_items.start,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,api.restaurant.fetch_menu_items.success,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,order.create.menu_items_fetched,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,order.service.create.start,,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,order.service.create.success,Pending,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,order.create.success,Pending,,,,,,,
orders-service,49742356-138b-4a3e-8009-984a2c5fcd6c,info,http.request.completed.success,200,2218.36,,,,,,
orders-service,1c38432e-50bb-47c5-b3ff-55107ea7c214,info,http.request.received,,,,,,,,
orders-service,1c38432e-50bb-47c5-b3ff-55107ea7c214,info,order.get_one.start,,,,,,,,
orders-service,1c38432e-50bb-47c5-b3ff-55107ea7c214,info,order.service.get_by_id.start,,,,,,,,
orders-service,1c38432e-50bb-47c5-b3ff-55107ea7c214,info,order.service.get_by_id.success,Pending,,,,,,,
orders-service,1c38432e-50bb-47c5-b3ff-55107ea7c214,info,order.get_one.success,Pending,,,,,,,
orders-service,1c38432e-50bb-47c5-b3ff-55107ea7c214,info,http.request.completed.success,200,64.68,,,,,,
orders-service,e07a411c-c4a0-4cda-a58f-bb45a5479725,info,http.request.received,,,,,,,,
orders-service,e07a411c-c4a0-4cda-a58f-bb45a5479725,info,order.get_one.start,,,,,,,,
orders-service,e07a411c-c4a0-4cda-a58f-bb45a5479725,info,order.service.get_by_id.start,,,,,,,,
orders-service,e07a411c-c4a0-4cda-a58f-bb45a5479725,info,order.service.get_by_id.success,Pending,,,,,,,
orders-service,e07a411c-c4a0-4cda-a58f-bb45a5479725,info,order.get_one.success,Pending,,,,,,,
orders-service,e07a411c-c4a0-4cda-a58f-bb45a5479725,info,http.request.completed.success,304,93.44,,,,,,
orders-service,fd3a965f-fc6b-41ba-b3d4-97ce1b15d4d7,info,http.request.received,,,,,,,,
orders-service,fd3a965f-fc6b-41ba-b3d4-97ce1b15d4d7,info,order.get_one.start,,,,,,,,
orders-service,fd3a965f-fc6b-41ba-b3d4-97ce1b15d4d7,info,order.service.get_by_id.start,,,,,,,,
orders-service,fd3a965f-fc6b-41ba-b3d4-97ce1b15d4d7,info,order.service.get_by_id.success,Pending,,,,,,,
orders-service,fd3a965f-fc6b-41ba-b3d4-97ce1b15d4d7,info,order.get_one.success,Pending,,,,,,,
orders-service,fd3a965f-fc6b-41ba-b3d4-97ce1b15d4d7,info,http.request.completed.success,304,85.52,,,,,,
orders-service,5e143e9d-d2a2-4ef4-a89f-d8b8812b1c58,info,http.request.received,,,,,,,,
orders-service,5e143e9d-d2a2-4ef4-a89f-d8b8812b1c58,info,auth.token_validated,,,,,,,,
orders-service,5e143e9d-d2a2-4ef4-a89f-d8b8812b1c58,info,authorize.access_granted,,,,,,,,
orders-service,5e143e9d-d2a2-4ef4-a89f-d8b8812b1c58,info,payment.intent.create.start,,,,,,,,
orders-service,5e143e9d-d2a2-4ef4-a89f-d8b8812b1c58,info,payment.intent.create.success,,,,,,,,
orders-service,5e143e9d-d2a2-4ef4-a89f-d8b8812b1c58,info,http.request.completed.success,200,933.18,,,,,,
orders-service,564a3461-f45f-4e74-aedf-5dca44f63637,info,http.request.received,,,,,,,,
orders-service,564a3461-f45f-4e74-aedf-5dca44f63637,info,order.get_one.start,,,,,,,,
orders-service,564a3461-f45f-4e74-aedf-5dca44f63637,info,order.service.get_by_id.start,,,,,,,,
orders-service,564a3461-f45f-4e74-aedf-5dca44f63637,info,order.service.get_by_id.success,Pending,,,,,,,
orders-service,564a3461-f45f-4e74-aedf-5dca44f63637,info,order.get_one.success,Pending,,,,,,,
orders-service,564a3461-f45f-4e74-aedf-5dca44f63637,info,http.request.completed.success,304,123.38,,,,,,
orders-service,63b67f59-496c-4ecf-959d-a2e0e9e862b7,info,http.request.received,,,,,,,,
orders-service,63b67f59-496c-4ecf-959d-a2e0e9e862b7,info,order.get_one.start,,,,,,,,
orders-service,63b67f59-496c-4ecf-959d-a2e0e9e862b7,info,order.service.get_by_id.start,,,,,,,,
