service,request_id,level,event,status_code,generated_at,duration_ms,cpu_percent,memory_mb,db_query_time_ms
restaurants-service,5fe9e26d-14c7-4221-aac2-abfda1d69da0,info,http.request.received,200,1771865697709,94,100,58.45,0
restaurants-service,5fe9e26d-14c7-4221-aac2-abfda1d69da0,info,restaurant.list.start,200,1771865697709,94,100,58.45,0
restaurants-service,5fe9e26d-14c7-4221-aac2-abfda1d69da0,info,restaurant.service.get_all.start,200,1771865697709,94,100,58.45,0
restaurants-service,5fe9e26d-14c7-4221-aac2-abfda1d69da0,info,restaurant.service.get_all.success,200,1771865697709,94,100,58.45,0
restaurants-service,5fe9e26d-14c7-4221-aac2-abfda1d69da0,info,restaurant.list.success,200,1771865697709,94,100,58.45,0
restaurants-service,5fe9e26d-14c7-4221-aac2-abfda1d69da0,info,http.request.completed.success,200,1771865697709,94,100,58.45,0
restaurants-service,76a33710-e8f0-494b-ab0b-656e666cedca,info,http.request.received,304,1771865697709,83,100,56.03,0
restaurants-service,76a33710-e8f0-494b-ab0b-656e666cedca,info,restaurant.list.start,304,1771865697709,83,100,56.03,0
restaurants-service,76a33710-e8f0-494b-ab0b-656e666cedca,info,restaurant.service.get_all.start,304,1771865697709,83,100,56.03,0
restaurants-service,76a33710-e8f0-494b-ab0b-656e666cedca,info,restaurant.service.get_all.success,304,1771865697709,83,100,56.03,0
restaurants-service,76a33710-e8f0-494b-ab0b-656e666cedca,info,restaurant.list.success,304,1771865697709,83,100,56.03,0
restaurants-service,76a33710-e8f0-494b-ab0b-656e666cedca,info,http.request.completed.success,304,1771865697709,83,100,56.03,0
restaurants-service,31e3addd-8627-481f-a240-a7751862fb29,info,http.request.received,200,1771865697709,99,100,51.22,0
restaurants-service,31e3addd-8627-481f-a240-a7751862fb29,info,restaurant.getOne.start,200,1771865697709,99,100,51.22,0
restaurants-service,31e3addd-8627-481f-a240-a7751862fb29,info,restaurant.service.get_by_id.start,200,1771865697709,99,100,51.22,0
restaurants-service,f1515b3e-2aca-45c8-9092-52cd2ad9ecea,info,http.request.received,200,1771865697709,83,100,50.94,0
restaurants-service,f1515b3e-2aca-45c8-9092-52cd2ad9ecea,info,menuItem.list.start,200,1771865697709,83,100,50.94,0
