service,request_id,level,event,status_code_log,duration_ms_log,generated_at,status_code_metric,duration_ms_metric,cpu_percent,memory_mb,db_query_time_ms
restaurants-service,18a11a79-00f8-4feb-b5d9-4a57fb52e43a,info,http.request.received,,,1772080299914,304,161,100,40.2,0
restaurants-service,18a11a79-00f8-4feb-b5d9-4a57fb52e43a,info,restaurant.list.start,,,1772080299914,304,161,100,40.2,0
restaurants-service,18a11a79-00f8-4feb-b5d9-4a57fb52e43a,info,restaurant.service.get_all.start,,,1772080299914,304,161,100,40.2,0
restaurants-service,18a11a79-00f8-4feb-b5d9-4a57fb52e43a,info,restaurant.service.get_all.success,,,1772080299914,304,161,100,40.2,0
restaurants-service,18a11a79-00f8-4feb-b5d9-4a57fb52e43a,info,restaurant.list.success,,,1772080299914,304,161,100,40.2,0
restaurants-service,18a11a79-00f8-4feb-b5d9-4a57fb52e43a,info,http.request.completed.success,304,167.04,1772080299914,304,161,100,40.2,0
restaurants-service,1623163c-75fe-4097-927c-8dbfb1987cf8,info,http.request.received,,,1772080299914,304,116,100,41.47,0
restaurants-service,1623163c-75fe-4097-927c-8dbfb1987cf8,info,restaurant.list.start,,,1772080299914,304,116,100,41.47,0
restaurants-service,1623163c-75fe-4097-927c-8dbfb1987cf8,info,restaurant.service.get_all.start,,,1772080299914,304,116,100,41.47,0
restaurants-service,1623163c-75fe-4097-927c-8dbfb1987cf8,info,restaurant.service.get_all.success,,,1772080299914,304,116,100,41.47,0
restaurants-service,1623163c-75fe-4097-927c-8dbfb1987cf8,info,restaurant.list.success,,,1772080299914,304,116,100,41.47,0
restaurants-service,1623163c-75fe-4097-927c-8dbfb1987cf8,info,http.request.completed.success,304,117.22,1772080299914,304,116,100,41.47,0
restaurants-service,3a4992f8-3c99-4647-9d92-8f401aa924dd,info,http.request.received,,,1772080299914,304,240,100,21.22,0
restaurants-service,3a4992f8-3c99-4647-9d92-8f401aa924dd,info,restaurant.list.start,,,1772080299914,304,240,100,21.22,0
restaurants-service,3a4992f8-3c99-4647-9d92-8f401aa924dd,info,restaurant.service.get_all.start,,,1772080299914,304,240,100,21.22,0
restaurants-service,3a4992f8-3c99-4647-9d92-8f401aa924dd,info,restaurant.service.get_all.success,,,1772080299914,304,240,100,21.22,0
restaurants-service,3a4992f8-3c99-4647-9d92-8f401aa924dd,info,restaurant.list.success,,,1772080299914,304,240,100,21.22,0
restaurants-service,3a4992f8-3c99-4647-9d92-8f401aa924dd,info,http.request.completed.success,304,246.19,1772080299914,304,240,100,21.22,0
restaurants-service,f7ad13bc-faf5-4623-9459-1e1751114714,info,http.request.received,,,1772080299914,304,109,100,22.07,0
restaurants-service,f7ad13bc-faf5-4623-9459-1e1751114714,info,restaurant.list.start,,,1772080299914,304,109,100,22.07,0
restaurants-service,f7ad13bc-faf5-4623-9459-1e1751114714,info,restaurant.service.get_all.start,,,1772080299914,304,109,100,22.07,0
restaurants-service,f7ad13bc-faf5-4623-9459-1e1751114714,info,restaurant.service.get_all.success,,,1772080299914,304,109,100,22.07,0
restaurants-service,f7ad13bc-faf5-4623-9459-1e1751114714,info,restaurant.list.success,,,1772080299914,304,109,100,22.07,0
restaurants-service,f7ad13bc-faf5-4623-9459-1e1751114714,info,http.request.completed.success,304,112.15,1772080299914,304,109,100,22.07,0
restaurants-service,c749682b-a540-4498-bcb6-3d24e42641bd,info,http.request.received,,,1772080299914,200,158,100,27.69,0
restaurants-service,c749682b-a540-4498-bcb6-3d24e42641bd,info,restaurant.getOne.start,,,1772080299914,200,158,100,27.69,0
restaurants-service,c749682b-a540-4498-bcb6-3d24e42641bd,info,restaurant.service.get_by_id.start,,,1772080299914,200,158,100,27.69,0
restaurants-service,b07f1540-57ad-46da-a863-ee1fb0ed801a,info,http.request.received,,,1772080299914,200,133,100,27.8,0
restaurants-service,b07f1540-57ad-46da-a863-ee1fb0ed801a,info,menuItem.list.start,,,1772080299914,200,133,100,27.8,0
restaurants-service,b07f1540-57ad-46da-a863-ee1fb0ed801a,info,menuitem.service.list.start,,,1772080299914,200,133,100,27.8,0
restaurants-service,c749682b-a540-4498-bcb6-3d24e42641bd,info,restaurant.service.get_by_id.success,,,1772080299914,200,158,100,27.69,0
restaurants-service,c749682b-a540-4498-bcb6-3d24e42641bd,info,restaurant.getOne.found,,,1772080299914,200,158,100,27.69,0
restaurants-service,c749682b-a540-4498-bcb6-3d24e42641bd,info,http.request.completed.success,200,157.87,1772080299914,200,158,100,27.69,0
restaurants-service,b07f1540-57ad-46da-a863-ee1fb0ed801a,info,menuitem.service.list.success,,,1772080299914,200,133,100,27.8,0
restaurants-service,b07f1540-57ad-46da-a863-ee1fb0ed801a,info,menuItem.list.success,,,1772080299914,200,133,100,27.8,0
restaurants-service,b07f1540-57ad-46da-a863-ee1fb0ed801a,info,http.request.completed.success,200,137.03,1772080299914,200,133,100,27.8,0
restaurants-service,b82b055b-ab03-4b1f-8100-a2aaa585dd98,info,http.request.received,,,1772080299914,304,149,100,28.26,0
restaurants-service,b82b055b-ab03-4b1f-8100-a2aaa585dd98,info,restaurant.getOne.start,,,1772080299914,304,149,100,28.26,0
