duration_ms,error_message,error_type,event,level,method,path,request_id,service,session_id,stacktrace_hash,status_code,timestamp
,,,db.connecting,INFO,,,,delivery-service,,,,2025-12-29T11:24:31.648Z
,,,db.connected,INFO,,,,delivery-service,,,,2025-12-29T11:24:34.385Z
,,,server.started,INFO,,,,delivery-service,,,,2025-12-29T11:24:34.391Z
,,,db.connecting,INFO,,,,delivery-service,,,,2025-12-29T18:17:55.220
,,,db.connected,INFO,,,,delivery-service,,,,2025-12-29T18:17:56.846
,,,server.started,INFO,,,,delivery-service,,,,2025-12-29T18:17:56.857
,,,db.connecting,INFO,,,,delivery-service,,,,2025-12-29T13:51:04.217Z
,,,db.connected,INFO,,,,delivery-service,,,,2025-12-29T13:51:07.430Z
,,,server.started,INFO,,,,delivery-service,,,,2025-12-29T13:51:07.435Z
,,,db.connecting,INFO,,,,delivery-service,,,,2025-12-29T16:48:05.629Z
,,,db.connected,INFO,,,,delivery-service,,,,2025-12-29T16:48:07.222Z
,,,server.started,INFO,,,,delivery-service,,,,2025-12-29T16:48:07.226Z
,,,db.connecting,INFO,,,,restaurants-service,,,,2025-12-29T16:54:02.639
,,,db.connected,INFO,,,,restaurants-service,,,,2025-12-29T16:54:04.204
,,,server.started,INFO,,,,restaurants-service,,,,2025-12-29T16:54:04.215
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.446
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.482
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.654
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.668
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.671
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.672
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.775
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.784
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.787
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:56:18.790
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.401
,,,menuItem.list.start,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.410
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.427
,,,restaurant.getOne.start,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.429
,,,menuItem.list.success,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.530
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.533
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.539
,,,menuItem.list.start,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.541
,,,restaurant.getOne.found,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.549
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.552
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.554
,,,restaurant.getOne.start,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.555
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.584
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.587
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.589
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.593
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.595
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.598
,,,menuItem.list.success,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.661
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.682
,,,restaurant.getOne.found,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.700
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:57:00.704
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:58:25.526
,,,menuItem.list.start,INFO,,,,restaurants-service,,,,2025-12-29T16:58:25.527
,,,menuItem.list.success,INFO,,,,restaurants-service,,,,2025-12-29T16:58:25.633
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:58:25.635
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.378
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.379
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.493
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.496
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.497
,,,restaurant.list.start,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.499
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.530
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.533
,,,restaurant.list.success,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.603
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T16:59:35.605
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:00:43.990
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.010
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.113
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.114
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.115
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.117
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.125
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.127
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.130
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.132
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.217
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.219
,,,menuItem.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.235
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.236
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.237
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.239
,,,menuItem.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.347
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:00:44.348
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.353
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.356
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.467
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.469
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.470
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.472
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.583
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:01:30.585
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.626
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.628
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.631
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.634
,,,menuItem.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.735
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.736
,,,restaurants.byUser.success,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.738
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.739
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.740
,,,menuItem.byUser.start,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.743
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.746
,,,[getByUser],INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.748
,,,http.request.received,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.798
,,,http.request.completed,INFO,,,,restaurants-service,,,,2025-12-29T17:01:47.802
