service,method,path
delivery-service,POST,/api/delivery/assign
delivery-service,POST,/api/delivery/respond
delivery-service,GET,/api/delivery/assigned-orders
delivery-service,GET,/api/delivery/my-deliveries
delivery-service,PATCH,/api/delivery/delivery/:deliveryId/status
orders-service,POST,/api/orders
orders-service,GET,/api/orders
orders-service,GET,/api/orders/restaurant/:restaurantId
orders-service,GET,/api/orders/:id
orders-service,PUT,/api/orders/:id
orders-service,PATCH,/api/orders/:id/delivery-address
orders-service,PATCH,/api/orders/:id/special-instructions
orders-service,DELETE,/api/orders/:id
orders-service,POST,/api/orders/create-payment-intent
orders-service,POST,/api/orders/webhook
orders-service,PATCH,/api/orders/:id/mark-paid
orders-service,PATCH,/api/orders/:id/status
restaurants-service,POST,/api/restaurants
restaurants-service,GET,/api/restaurants
restaurants-service,GET,/api/restaurants/my
restaurants-service,GET,/api/restaurants/:id
restaurants-service,PATCH,/api/restaurants/:id/availability
restaurants-service,PUT,/api/restaurants/:id
restaurants-service,DELETE,/api/restaurants/:id
restaurants-service,POST,/api/restaurants/:id/menu-items
restaurants-service,GET,/api/restaurants/my/menu-items
restaurants-service,GET,/api/restaurants/:id/menu-items
restaurants-service,GET,/api/restaurants/:id/menu-items/:itemId
restaurants-service,PUT,/api/restaurants/:id/menu-items/:itemId
restaurants-service,DELETE,/api/restaurants/:id/menu-items/:itemId
