service,method,path
restaurants-service,DELETE,/api/restaurants/id123/menu-items/111111111111111111111111
orders-service,PATCH,/api/orders/abc123/status
restaurants-service,PUT,/api/restaurants/000000000000000000000001/menu-items/000000000000000000000001
restaurants-service,PUT,/api/restaurants/694103c1eb5047e453c93212/menu-items/111111111111111111111111
orders-service,GET,/api/orders/restaurant/6956e136502d3f4b674e4341
orders-service,POST,/api/orders/create-payment-intent
orders-service,GET,/api/orders/restaurant/694103c1eb5047e453c93212
users-service,PUT,/api/users/6956e136502d3f4b674e4341
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/special-instructions
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/mark-paid
users-service,POST,/api/users
restaurants-service,PATCH,/api/restaurants/id123/availability
restaurants-service,DELETE,/api/restaurants/id123/menu-items/xyz789
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/special-instructions
orders-service,PUT,/api/orders/694103c1eb5047e453c93212
orders-service,PATCH,/api/orders/111111111111111111111111/mark-paid
restaurants-service,POST,/api/restaurants
orders-service,PATCH,/api/orders/id123/mark-paid
restaurants-service,GET,/api/restaurants/my/menu-items
restaurants-service,POST,/api/restaurants/abc123/menu-items
restaurants-service,DELETE,/api/restaurants/id123/menu-items/111111111111111111111111
restaurants-service,DELETE,/api/restaurants/id123/menu-items/abc123
restaurants-service,DELETE,/api/restaurants/6956e136502d3f4b674e4341/menu-items/000000000000000000000001
restaurants-service,POST,/api/restaurants/abc123/menu-items
users-service,GET,/api/users/6956e136502d3f4b674e4341
orders-service,POST,/api/orders
restaurants-service,PUT,/api/restaurants/id123/menu-items/111111111111111111111111
orders-service,PATCH,/api/orders/xyz789/special-instructions
restaurants-service,GET,/api/restaurants/111111111111111111111111/menu-items
orders-service,PATCH,/api/orders/id123/special-instructions
orders-service,PATCH,/api/orders/694103c1eb5047e453c93212/delivery-address
orders-service,PATCH,/api/orders/id123/mark-paid
orders-service,GET,/api/orders/restaurant/6956e136502d3f4b674e4341
restaurants-service,PUT,/api/restaurants/abc123
restaurants-service,PUT,/api/restaurants/id123
restaurants-service,GET,/api/restaurants/test123/menu-items/6956e136502d3f4b674e4341
delivery-service,PATCH,/api/delivery/delivery/694103c1eb5047e453c93212/status
users-service,PUT,/api/users/6956e136502d3f4b674e4341
restaurants-service,GET,/api/restaurants/xyz789/menu-items
orders-service,GET,/api/orders/6956e136502d3f4b674e4341
orders-service,GET,/api/orders/restaurant/abc123
orders-service,GET,/api/orders/restaurant/6956e136502d3f4b674e4341
restaurants-service,PATCH,/api/restaurants/694103c1eb5047e453c93212/availability
orders-service,GET,/api/orders/000000000000000000000001
orders-service,GET,/api/orders/restaurant/abc123
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/special-instructions
orders-service,POST,/api/orders/create-payment-intent
restaurants-service,GET,/api/restaurants/xyz789
delivery-service,PATCH,/api/delivery/delivery/694103c1eb5047e453c93212/status
orders-service,POST,/api/orders/webhook
delivery-service,PATCH,/api/delivery/delivery/694103c1eb5047e453c93212/status
restaurants-service,PUT,/api/restaurants/xyz789/menu-items/id123
restaurants-service,PUT,/api/restaurants/id123/menu-items/111111111111111111111111
restaurants-service,GET,/api/restaurants/6956e136502d3f4b674e4341/menu-items/abc123
restaurants-service,GET,/api/restaurants/6956e136502d3f4b674e4341/menu-items/abc123
orders-service,GET,/api/orders/6956e136502d3f4b674e4341
delivery-service,GET,/api/delivery/assigned-orders
delivery-service,PATCH,/api/delivery/delivery/xyz789/status
orders-service,GET,/api/orders/restaurant/694103c1eb5047e453c93212
orders-service,POST,/api/orders
users-service,PUT,/api/users/694103c1eb5047e453c93212
orders-service,GET,/api/orders/restaurant/6956e136502d3f4b674e4341
restaurants-service,GET,/api/restaurants/6956e136502d3f4b674e4341/menu-items/abc123
delivery-service,PATCH,/api/delivery/delivery/id123/status
orders-service,PATCH,/api/orders/000000000000000000000001/special-instructions
delivery-service,GET,/api/delivery/my-deliveries
orders-service,PATCH,/api/orders/000000000000000000000001/special-instructions
users-service,GET,/api/users/694103c1eb5047e453c93212
users-service,PUT,/api/users/test123
restaurants-service,POST,/api/restaurants/6956e136502d3f4b674e4341/menu-items
restaurants-service,POST,/api/restaurants/111111111111111111111111/menu-items
delivery-service,GET,/api/delivery/my-deliveries
users-service,PUT,/api/users/694103c1eb5047e453c93212
restaurants-service,GET,/api/restaurants/abc123/menu-items
users-service,GET,/api/users
restaurants-service,DELETE,/api/restaurants/000000000000000000000001/menu-items/6956e136502d3f4b674e4341
restaurants-service,GET,/api/restaurants/694103c1eb5047e453c93212/menu-items/111111111111111111111111
delivery-service,GET,/api/delivery/my-deliveries
restaurants-service,GET,/api/restaurants
orders-service,PUT,/api/orders/694103c1eb5047e453c93212
restaurants-service,GET,/api/restaurants/6956e136502d3f4b674e4341
restaurants-service,PUT,/api/restaurants/000000000000000000000001
restaurants-service,DELETE,/api/restaurants/6956e136502d3f4b674e4341/menu-items/000000000000000000000001
delivery-service,PATCH,/api/delivery/delivery/xyz789/status
orders-service,GET,/api/orders/abc123
restaurants-service,GET,/api/restaurants/111111111111111111111111/menu-items
restaurants-service,DELETE,/api/restaurants/abc123
restaurants-service,DELETE,/api/restaurants/id123/menu-items/abc123
restaurants-service,GET,/api/restaurants
restaurants-service,PUT,/api/restaurants/xyz789/menu-items/id123
restaurants-service,GET,/api/restaurants/debug/fail
restaurants-service,GET,/api/restaurants/111111111111111111111111/menu-items/6956e136502d3f4b674e4341
restaurants-service,DELETE,/api/restaurants/id123/menu-items/111111111111111111111111
orders-service,PATCH,/api/orders/694103c1eb5047e453c93212/special-instructions
orders-service,PATCH,/api/orders/abc123/mark-paid
restaurants-service,GET,/api/restaurants/111111111111111111111111/menu-items/6956e136502d3f4b674e4341
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/status
orders-service,GET,/api/orders/restaurant/id123
restaurants-service,GET,/api/restaurants/000000000000000000000001/menu-items/abc123
restaurants-service,POST,/api/restaurants
restaurants-service,DELETE,/api/restaurants/id123/menu-items/111111111111111111111111
