service,method,path
orders-service,GET,/api/orders
orders-service,POST,/api/orders
orders-service,PUT,/api/orders
orders-service,PATCH,/api/orders
orders-service,DELETE,/api/orders
orders-service,GET,/api/orders/000000000000000000000001
orders-service,POST,/api/orders/000000000000000000000001
orders-service,PUT,/api/orders/000000000000000000000001
orders-service,PATCH,/api/orders/000000000000000000000001
orders-service,DELETE,/api/orders/000000000000000000000001
orders-service,GET,/api/orders/111111111111111111111111
orders-service,POST,/api/orders/111111111111111111111111
orders-service,PUT,/api/orders/111111111111111111111111
orders-service,PATCH,/api/orders/111111111111111111111111
orders-service,DELETE,/api/orders/111111111111111111111111
orders-service,GET,/api/orders/abc123
orders-service,POST,/api/orders/abc123
orders-service,PUT,/api/orders/abc123
orders-service,PATCH,/api/orders/abc123
orders-service,DELETE,/api/orders/abc123
orders-service,GET,/api/orders/xyz789
orders-service,POST,/api/orders/xyz789
orders-service,PUT,/api/orders/xyz789
orders-service,PATCH,/api/orders/xyz789
orders-service,DELETE,/api/orders/xyz789
restaurants-service,GET,/api/restaurants
restaurants-service,POST,/api/restaurants
restaurants-service,PUT,/api/restaurants
restaurants-service,PATCH,/api/restaurants
restaurants-service,DELETE,/api/restaurants
restaurants-service,GET,/api/restaurants/000000000000000000000001
restaurants-service,POST,/api/restaurants/000000000000000000000001
restaurants-service,PUT,/api/restaurants/000000000000000000000001
restaurants-service,PATCH,/api/restaurants/000000000000000000000001
restaurants-service,DELETE,/api/restaurants/000000000000000000000001
restaurants-service,GET,/api/restaurants/111111111111111111111111
restaurants-service,POST,/api/restaurants/111111111111111111111111
restaurants-service,PUT,/api/restaurants/111111111111111111111111
restaurants-service,PATCH,/api/restaurants/111111111111111111111111
restaurants-service,DELETE,/api/restaurants/111111111111111111111111
restaurants-service,GET,/api/restaurants/abc123
restaurants-service,POST,/api/restaurants/abc123
restaurants-service,PUT,/api/restaurants/abc123
restaurants-service,PATCH,/api/restaurants/abc123
restaurants-service,DELETE,/api/restaurants/abc123
restaurants-service,GET,/api/restaurants/xyz789
restaurants-service,POST,/api/restaurants/xyz789
restaurants-service,PUT,/api/restaurants/xyz789
restaurants-service,PATCH,/api/restaurants/xyz789
restaurants-service,DELETE,/api/restaurants/xyz789
restaurants-service,GET,/api/restaurants/debug/fail
restaurants-service,POST,/api/restaurants/debug/fail
restaurants-service,PUT,/api/restaurants/debug/fail
restaurants-service,PATCH,/api/restaurants/debug/fail
restaurants-service,DELETE,/api/restaurants/debug/fail
delivery-service,GET,/api/delivery
delivery-service,POST,/api/delivery
delivery-service,PUT,/api/delivery
delivery-service,PATCH,/api/delivery
delivery-service,DELETE,/api/delivery
users-service,GET,/error
users-service,POST,/error
users-service,PUT,/error
users-service,PATCH,/error
users-service,DELETE,/error
users-service,GET,/api/users
users-service,POST,/api/users
users-service,PUT,/api/users
users-service,PATCH,/api/users
users-service,DELETE,/api/users
