service,method,path,path_norm,predicted_label,confidence
restaurants-service,DELETE,/api/restaurants/id123/menu-items/111111111111111111111111,/api/:kws/id123/:kw/:num,catalog_ops,86.35
orders-service,PATCH,/api/orders/abc123/status,/api/orders/abc123/:kw,state_transition,89.74
restaurants-service,PUT,/api/restaurants/000000000000000000000001/menu-items/000000000000000000000001,/api/:kws/:num/:kw/:num,catalog_ops,86.35
restaurants-service,PUT,/api/restaurants/694103c1eb5047e453c93212/menu-items/111111111111111111111111,/api/:kws/:numc1eb5047e453c93212/:kw/:num,catalog_ops,86.35
orders-service,GET,/api/orders/restaurant/6956e136502d3f4b674e4341,/api/orders/:kw/:nume136502d3f4b674e4341,generic_api,34.85
orders-service,POST,/api/orders/create-payment-intent,/api/orders/create-:kw-intent,payments,25.96
orders-service,GET,/api/orders/restaurant/694103c1eb5047e453c93212,/api/orders/:kw/:numc1eb5047e453c93212,generic_api,34.85
users-service,PUT,/api/users/6956e136502d3f4b674e4341,/api/users/:nume136502d3f4b674e4341,catalog_ops,86.39
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/special-instructions,/api/orders/:nume136502d3f4b674e4341/special-instructions,generic_api,91.5
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/mark-paid,/api/orders/:nume136502d3f4b674e4341/mark-paid,state_transition,93.15
users-service,POST,/api/users,/api/users,catalog_ops,75.69
restaurants-service,PATCH,/api/restaurants/id123/availability,/api/:kws/id123/:kw,availability_ops,51.0
restaurants-service,DELETE,/api/restaurants/id123/menu-items/xyz789,/api/:kws/id123/:kw/xyz789,catalog_ops,78.14
orders-service,PATCH,/api/orders/6956e136502d3f4b674e4341/special-instructions,/api/orders/:nume136502d3f4b674e4341/special-instructions,generic_api,91.5
orders-service,PUT,/api/orders/694103c1eb5047e453c93212,/api/orders/:numc1eb5047e453c93212,generic_api,86.2
orders-service,PATCH,/api/orders/111111111111111111111111/mark-paid,/api/orders/:num/mark-paid,state_transition,93.15
